,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/temperature/4,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/power/0,/intelcpu/0/power/1,/intelcpu/0/power/2,/intelcpu/0/power/3,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Package","CPU Cores","CPU Graphics","CPU DRAM","Bus Speed"
07/30/2015 22:48:22,7.8125,14.0625,1.5625,81.25,26.171875,53,59,50,56,59,4090.52832,4090.52832,4090.52832,4090.52832,58.73818,43.5804024,1.84227681,2.68654037,99.76899
07/30/2015 22:48:23,32.8125,9.375,14.0625,57.8125,28.515625,50,53,50,60,60,4090.52783,4090.52783,4090.52783,4090.52783,57.9598961,42.68063,1.85252464,2.64486361,99.7689743
07/30/2015 22:48:24,10.9375,7.8125,26.5625,60.9375,26.5625,51,52,50,59,59,4090.52881,4090.52881,4090.52881,4090.52881,57.8828239,42.5964851,1.86021733,2.633477,99.769
07/30/2015 22:48:25,14.0625,12.5,6.25,71.875,26.171875,50,50,51,61,61,4090.52856,4090.52856,4090.52856,4090.52856,57.7281151,42.4360542,1.85842144,2.62623549,99.76899
07/30/2015 22:48:26,25,4.6875,28.125,48.4375,26.5625,50,51,50,60,60,4090.52832,4090.52832,4090.52832,4090.52832,57.69985,42.3666534,1.86964381,2.61796355,99.76898
07/30/2015 22:48:27,18.75,4.6875,21.875,59.375,26.171875,50,51,50,58,58,4090.527,4090.527,4090.527,4090.527,58.17153,42.902153,1.85809529,2.64618826,99.76896
07/30/2015 22:48:28,6.25,10.9375,12.5,73.4375,25.78125,49,52,53,57,57,4090.529,4090.529,4090.529,4090.529,57.8056755,42.4950371,1.87037349,2.62478065,99.7690048
07/30/2015 22:48:29,45.3125,6.25,7.8125,45.3125,26.171875,50,54,50,59,59,4090.52832,4090.52832,4090.52832,4090.52832,57.846962,42.54907,1.873178,2.63536239,99.76898
07/30/2015 22:48:30,7.8125,4.6875,21.875,70.3125,26.171875,51,51,52,58,58,4090.528,4090.528,4090.528,4090.528,57.7009773,42.4026451,1.86505437,2.61924958,99.76898
07/30/2015 22:48:31,29.6875,12.5,10.9375,54.6875,26.953125,50,53,49,60,60,4090.528,4090.528,4090.528,4090.528,57.7204666,42.41738,1.86539,2.627506,99.7689743
07/30/2015 22:48:32,15.625,3.125,21.875,65.625,26.5625,49,51,51,60,60,4090.52759,4090.52759,4090.52759,4090.52759,57.6932564,42.3940163,1.87618172,2.619172,99.76897
07/30/2015 22:48:33,23.4375,6.25,9.375,64.0625,25.78125,50,52,49,60,60,4090.52881,4090.52881,4090.52881,4090.52881,57.9085846,42.599823,1.876701,2.638363,99.769
07/30/2015 22:48:34,21.875,7.8125,14.0625,57.8125,25.390625,52,52,51,58,58,4090.52832,4090.52832,4090.52832,4090.52832,57.6531563,42.32754,1.87296236,2.61694026,99.76898
07/30/2015 22:48:35,32.8125,3.125,20.3125,53.125,27.34375,49,50,51,60,60,4090.528,4090.528,4090.528,4090.528,57.8371773,42.5248947,1.86844349,2.63574529,99.7689743
07/30/2015 22:48:36,17.1875,6.25,14.0625,71.875,27.34375,48,51,50,61,61,4090.52881,4090.52881,4090.52881,4090.52881,57.68644,42.38852,1.862031,2.62233734,99.769
07/30/2015 22:48:37,17.1875,6.25,18.75,59.375,25.390625,50,52,53,57,57,4090.52759,4090.52759,4090.52759,4090.52759,57.80084,42.48644,1.868792,2.6303072,99.76897
07/30/2015 22:48:38,18.75,4.6875,17.1875,64.0625,26.171875,50,51,50,60,60,4090.528,4090.528,4090.528,4090.528,57.68275,42.383316,1.86493063,2.61880755,99.7689743
07/30/2015 22:48:39,15.625,9.375,21.875,68.75,28.90625,50,51,57,53,57,4090.52881,4090.52881,4090.52881,4090.52881,58.570034,43.3620033,1.85169709,2.68964386,99.769
07/30/2015 22:48:40,28.125,14.0625,10.9375,53.125,26.5625,50,54,50,58,58,4090.527,4090.527,4090.527,4090.527,58.0811424,42.80818,1.85769653,2.64378524,99.76896
07/30/2015 22:48:41,1.5625,9.375,10.9375,85.9375,26.953125,55,55,50,58,58,4090.529,4090.529,4090.529,4090.529,58.4666519,43.27075,1.83907485,2.67827487,99.769
07/30/2015 22:48:42,12.5,18.75,21.875,53.125,26.5625,49,50,49,51,51,4090.52783,4090.52783,4090.52783,4090.52783,56.6660347,40.2949448,2.00141263,2.7392993,99.7689743
07/30/2015 22:48:43,1.5625,0,0,6.25,1.953125,48,50,48,48,51,4090.52856,4090.52856,4090.52856,4090.52856,42.09998,18.8827782,2.872808,2.53979659,99.76899
07/30/2015 22:48:44,4.6875,3.125,0,4.6875,3.125,48,48,47,48,51,4090.52832,4090.52832,4090.52832,4090.52832,42.4892578,19.5671158,2.78913236,2.589833,99.76898
07/30/2015 22:48:45,0,0,1.5625,4.6875,1.5625,46,48,47,48,49,4090.52881,4090.52881,4090.52881,4090.52881,40.6278419,17.2678375,2.831978,2.51749015,99.769
07/30/2015 22:48:46,1.5625,0,1.5625,1.5625,1.171875,47,47,46,47,49,4090.52856,4090.52856,4090.52856,4090.52856,40.0267029,16.7445126,2.80193949,2.50558352,99.76899
07/30/2015 22:48:47,4.6875,3.125,0,3.125,2.734375,48,48,47,48,50,4090.52881,4090.52881,4090.52881,4090.52881,40.88898,17.9962883,2.74817538,2.54289484,99.769
07/30/2015 22:48:48,0,1.5625,1.5625,7.8125,2.734375,47,48,46,48,50,4090.52783,4090.52783,4090.52783,4090.52783,41.05701,18.3896122,2.71599865,2.52475786,99.7689743
