,/intelcpu/0/load/1,/intelcpu/0/load/2,/intelcpu/0/load/3,/intelcpu/0/load/4,/intelcpu/0/load/0,/intelcpu/0/temperature/0,/intelcpu/0/temperature/1,/intelcpu/0/temperature/2,/intelcpu/0/temperature/3,/intelcpu/0/clock/1,/intelcpu/0/clock/2,/intelcpu/0/clock/3,/intelcpu/0/clock/4,/intelcpu/0/clock/0
Time,"CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Total","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","CPU Core #1","CPU Core #2","CPU Core #3","CPU Core #4","Bus Speed"
09/25/2015 21:55:55,0,14.6153851,0.75757575,0.7692308,4.03554773,49,48,50,48,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 21:56:00,9.230769,0,21.5384617,20.76923,12.8846149,54,55,54,64,2926.052,2926.052,2926.052,2926.052,133.002365
09/25/2015 21:56:05,11.5384617,5.38461542,10.7692308,15.3846149,10.7692308,52,50,52,52,1197.02161,1330.02393,1330.02393,1197.02161,133.0024
09/25/2015 21:56:10,11.5384617,8.461538,10.7692308,7.69230747,9.615385,54,52,54,53,1197.02148,1197.02148,1197.02148,1995.03577,133.00238
09/25/2015 21:56:15,3.84615374,0,8.461538,2.30769229,3.65384626,50,49,51,49,1197.02148,1197.02148,1197.02148,1197.02148,133.0024
09/25/2015 21:56:20,6.15384626,4.61538458,4.61538458,3.84615374,4.80769253,51,49,51,49,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 21:56:25,2.30769229,5.38461542,3.84615374,0.7692308,3.07692313,53,53,52,52,2926.05347,2926.05347,2926.05347,2926.05347,133.002441
09/25/2015 21:56:30,0,0,0,0.7692308,0.1923077,48,47,49,48,1197.02148,1197.02148,1197.02148,1197.02148,133.00238
09/25/2015 21:56:35,0.7692308,0.7692308,2.30769229,0.7692308,1.15384614,50,49,51,47,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 21:56:41,3.84615374,3.84615374,4.61538458,10,5.576923,53,53,55,52,1197.02075,2926.05078,2926.05078,1197.02075,133.0023
09/25/2015 21:56:46,0,0,0,0.7692308,0.1923077,49,47,51,47,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:56:51,0,0,0,1.53846157,0.3846154,48,48,50,48,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:56:56,6.15384626,3.84615374,4.61538458,6.15384626,5.19230747,49,49,52,48,1197.02039,1197.02039,1197.02039,1197.02039,133.002258
09/25/2015 21:57:01,0.7692308,0,0.7692308,0.7692308,0.5769231,48,47,50,47,1197.02051,1197.02051,1197.02051,1197.02051,133.002289
09/25/2015 21:57:06,0,0,0,0.7692308,0.1923077,47,47,51,47,1197.02124,1197.02124,1197.02124,1197.02124,133.002365
09/25/2015 21:57:11,5.38461542,3.07692313,5.38461542,9.230769,5.769231,48,48,49,48,1197.02051,1197.02051,1197.02051,1197.02051,133.002274
09/25/2015 21:57:16,0,0,0,0.7692308,0.1923077,48,47,50,47,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:57:21,0.7692308,0,0.7936508,0.7692308,0.5830281,47,48,49,48,1197.02124,1197.02124,1197.02124,1197.02124,133.002365
09/25/2015 21:57:26,3.84615374,7.69230747,5.38461542,4.61538458,5.38461542,49,47,49,46,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:57:31,0.7692308,0,0.7692308,0.7692308,0.5769231,46,47,48,46,1197.07336,1197.07336,1197.07336,1197.07336,133.008148
09/25/2015 21:57:36,0,0,0,0.7692308,0.1923077,47,46,49,47,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:57:41,5.38461542,6.923077,3.07692313,5.38461542,5.19230747,47,46,49,47,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:57:46,0,2.30769229,0,1.53846157,0.961538434,47,46,49,46,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:57:52,0.7692308,6.923077,0,1.53846157,2.30769229,47,47,49,47,1197.02124,1197.02124,1197.02124,1197.02124,133.00235
09/25/2015 21:57:57,4.61538458,4.61538458,2.30769229,6.15384626,4.423077,46,46,48,46,1197.02161,1197.02161,1197.02161,1197.02161,133.0024
09/25/2015 21:58:02,1.53846157,4.61538458,2.30769229,1.53846157,2.5,51,50,50,50,2793.0498,2793.0498,2793.0498,2793.0498,133.002365
09/25/2015 21:58:07,0,0,0.7692308,0,0.1923077,47,46,49,47,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 21:58:12,0,0.7692308,0.7692308,3.07692313,1.15384614,46,45,49,46,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 21:58:17,3.07692313,5.38461542,6.923077,5.38461542,5.19230747,51,52,51,53,1197.02124,2926.052,1197.02124,1197.02124,133.002365
09/25/2015 21:58:22,0,3.84615374,0,0,0.961538434,47,46,49,46,1197.02026,1197.02026,1197.02026,1197.02026,133.002258
09/25/2015 21:58:27,0,0,0,2.30769229,0.5769231,46,46,48,45,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:58:32,4.61538458,7.69230747,6.923077,1.53846157,5.19230747,48,46,49,48,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:58:37,3.07692313,7.69230747,3.07692313,7.69230747,5.38461542,48,48,50,47,1330.02283,1197.02051,1330.02283,1330.02283,133.002289
09/25/2015 21:58:42,0.7692308,0,8.461538,3.07692313,3.07692313,48,46,50,46,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 21:58:47,3.84615374,10,3.84615374,9.230769,6.730769,47,48,49,47,1197.02039,1197.02039,1197.02039,1197.02039,133.002258
09/25/2015 21:58:52,1.53846157,1.53846157,7.69230747,2.30769229,3.26923084,47,47,48,46,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:58:57,8.461538,0,2.30769229,3.07692313,3.46153855,47,46,49,46,1197.02148,1197.02148,1197.02148,1197.02148,133.0024
09/25/2015 21:59:03,8.461538,6.15384626,5.38461542,10.7692308,7.69230747,47,46,48,47,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 21:59:08,0,0.7692308,6.923077,3.84615374,2.88461542,46,46,48,46,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 21:59:13,2.30769229,0,10.7692308,0,3.26923084,46,46,48,47,1197.02136,1197.02136,1197.02136,1197.02136,133.00238
09/25/2015 21:59:18,6.15384626,6.923077,10,7.69230747,7.69230747,47,46,49,46,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 21:59:23,0,2.30769229,5.38461542,10.7692308,4.61538458,47,46,49,47,1197.02112,1197.02112,1197.02112,1197.02112,133.002335
09/25/2015 21:59:28,1.53846157,8.461538,9.230769,4.61538458,5.96153831,46,45,49,47,1197.02063,1197.02063,1197.02063,1197.02063,133.002289
09/25/2015 21:59:33,3.07692313,4.61538458,14.6153851,8.461538,7.69230747,47,47,49,47,1197.02087,1197.02087,1197.02087,1197.02087,133.002319
09/25/2015 21:59:38,3.07692313,4.61538458,6.15384626,9.230769,5.769231,49,50,51,50,2926.05249,2926.05249,2926.05249,2926.05249,133.0024
09/25/2015 21:59:43,0,3.07692313,6.923077,4.61538458,3.65384626,45,45,48,46,1197.021,1197.021,1197.021,1197.021,133.002335
09/25/2015 21:59:48,2.30769229,2.30769229,10.7692308,6.923077,5.576923,47,46,48,46,1197.02075,1197.02075,1197.02075,1197.02075,133.0023
09/25/2015 21:59:53,3.84615374,10.7692308,8.461538,8.461538,7.88461542,52,52,53,52,2926.05225,2926.05225,2926.05225,2926.05225,133.00238
09/25/2015 21:59:58,0,0,12.3076925,0.7692308,3.26923084,47,46,49,47,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:00:03,0,0.7692308,7.69230747,6.923077,3.84615374,47,47,48,47,1197.02112,1197.02112,1197.02112,1197.02112,133.00235
09/25/2015 22:00:08,6.15384626,10.7692308,7.69230747,12.3076925,9.230769,48,47,49,47,1197.021,1197.021,1197.021,1197.021,133.002335
